Factor,Return,IC,T-Stat,Dev,1,2,3,4,5,6,7,8,9,10,NA,Available,Average,Std. Dev.,Low,High
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW30,ROW36)",2.80,0.0777,1.6077,0.0957,1.2742,1.13,0.15,-0.21,0.79,0.53,-0.16,0.65,-1.58,-1.74,#N/A,100.00,43.46,2.17,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26,ROW30)",2.75,0.0769,1.5924,0.0890,1.2706,0.38,0.67,0.73,0.64,0.33,0.49,-1.00,-0.93,-1.66,#N/A,100.00,44.54,2.20,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)",2.20,0.0598,1.1985,0.0931,1.2649,0.83,0.17,0.33,1.00,0.20,-0.26,-0.31,0.55,-1.11,-2.40,92.86,40.74,2.62,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW30,ROW36)",3.16,0.0798,1.6504,0.0948,1.2642,1.08,0.83,-0.13,0.42,0.47,0.00,-0.33,-0.59,-2.13,#N/A,100.00,44.34,2.01,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW30)",2.90,0.0752,1.5575,0.0892,1.2470,0.79,0.36,-0.04,1.20,0.47,0.16,-0.81,-0.69,-1.85,#N/A,100.00,43.75,2.38,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30,ROW36)",3.44,0.0821,1.6960,0.0934,1.2402,0.73,1.22,0.31,0.30,-0.18,0.36,0.38,-1.12,-2.38,#N/A,100.00,44.68,2.00,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)",1.98,0.0621,1.2411,0.0937,1.2370,0.94,-0.04,0.61,0.87,0.05,0.31,-0.65,0.16,-0.91,-2.40,92.86,42.07,2.35,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30,ROW36)",3.57,0.0813,1.6802,0.0945,1.2361,1.00,0.91,-0.33,0.23,0.68,0.48,-0.20,-0.60,-2.56,#N/A,100.00,44.21,1.98,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30,ROW36)",2.97,0.0803,1.6602,0.0954,1.2349,1.61,0.13,-0.37,0.62,0.24,0.24,-0.19,-0.74,-1.92,#N/A,100.00,43.88,2.01,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18)",2.17,0.0549,1.0997,0.0920,1.2259,0.42,0.17,0.45,0.60,0.45,0.42,-0.40,0.47,-1.16,-2.40,92.86,40.21,2.90,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26,ROW30,ROW36)",2.56,0.0794,1.6431,0.0924,1.2147,1.07,0.58,-0.17,0.31,0.50,0.13,-0.15,-1.08,-1.54,#N/A,100.00,44.33,1.84,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26,ROW36)",2.35,0.0751,1.5223,0.0996,1.2143,1.13,0.05,0.15,0.51,0.41,-0.12,-0.37,-0.96,-1.28,0.85,96.38,43.00,2.10,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26,ROW30)",3.12,0.0746,1.5440,0.0873,1.2083,0.34,0.81,1.23,-0.15,0.22,0.57,-0.64,-0.50,-2.11,#N/A,100.00,44.21,2.37,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26,ROW36)",2.14,0.0719,1.4589,0.0999,1.2077,1.24,-0.32,0.38,0.40,0.63,-0.38,-0.87,-0.38,-1.10,0.85,96.38,42.84,2.13,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW26,ROW30)",2.80,0.0783,1.6191,0.0887,1.2020,0.59,1.08,-0.28,0.95,0.80,-0.19,-0.13,-1.23,-1.79,#N/A,100.00,44.43,2.18,1.00,100.00
AFG Investment Grade,2.62,0.0579,1.0422,0.0881,1.1994,0.92,0.80,-1.69,-1.69,#N/A,#N/A,#N/A,#N/A,#N/A,-1.32,75.23,35.66,4.08,5.00,95.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26)",2.28,0.0610,1.2189,0.0895,1.1986,0.86,0.18,0.34,0.85,0.51,0.25,0.06,-0.29,-1.26,-2.40,92.86,41.78,2.58,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26)",2.20,0.0624,1.2477,0.0925,1.1956,0.90,-0.07,0.86,0.67,0.21,-0.08,-0.04,0.08,-1.16,-2.40,92.86,41.82,2.38,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30)",3.09,0.0750,1.5523,0.0865,1.1899,0.10,0.77,0.77,0.65,0.97,0.06,-0.17,-1.27,-2.12,#N/A,100.00,43.46,2.58,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW36)",2.39,0.0736,1.4929,0.0978,1.1746,1.04,0.02,0.50,0.51,0.12,0.50,-0.30,-1.31,-1.43,0.85,96.38,42.47,2.28,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24,ROW26)",1.71,0.0625,1.2496,0.0894,1.1732,0.15,0.51,0.99,0.56,0.53,-0.34,-0.13,-0.14,-0.68,-2.40,92.86,42.43,2.22,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW30,ROW36)",2.75,0.0789,1.6337,0.0953,1.1718,1.09,0.43,0.08,0.20,1.15,-0.38,0.22,-1.29,-1.83,#N/A,100.00,43.96,2.01,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30,ROW36)",2.94,0.0836,1.7278,0.0941,1.1695,0.92,1.36,0.17,0.16,-0.03,0.26,-0.16,-0.98,-1.96,#N/A,100.00,45.11,1.87,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW26,ROW36)",2.29,0.0705,1.4311,0.0987,1.1632,0.84,-0.21,0.64,0.53,0.75,-0.57,-0.46,-0.56,-1.35,0.85,96.38,42.37,2.31,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26,ROW30)",3.14,0.0744,1.5403,0.0883,1.1589,0.70,0.76,0.09,0.45,0.98,-0.28,0.03,-0.78,-2.16,#N/A,100.00,43.89,2.36,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24,ROW26,ROW30,ROW36)",2.59,0.0772,1.5988,0.0922,1.1584,0.95,0.63,-0.20,0.08,1.16,-0.12,0.04,-1.20,-1.64,#N/A,100.00,44.02,1.97,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW30)",2.74,0.0756,1.5640,0.0895,1.1573,0.98,0.23,0.07,0.92,0.47,0.33,-1.07,-0.43,-1.78,#N/A,100.00,44.16,2.36,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW26,ROW36)",2.26,0.0715,1.4521,0.0983,1.1511,1.05,-0.36,0.79,0.48,0.03,0.08,-0.51,-0.60,-1.33,0.85,96.38,42.64,2.29,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",1.70,0.0613,1.2267,0.0878,1.1498,0.39,-0.51,1.13,1.19,0.56,0.24,-0.78,-0.01,-0.70,-2.40,92.86,41.88,2.39,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21,ROW26,ROW36)",2.39,0.0732,1.4865,0.0997,1.1415,1.17,-0.11,0.46,0.43,0.09,-0.04,-1.01,-0.04,-1.39,0.85,96.38,43.15,2.11,1.00,100.00
 Sector    Name,1.13,#N/A,#N/A,#N/A,1.1402,0.70,-4.92,0.47,2.53,-0.08,-1.12,-0.77,2.42,-0.35,#N/A,100.00,#N/A,#N/A,#N/A,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26,ROW36)",2.03,0.0724,1.4710,0.0966,1.1344,1.04,-0.10,0.55,0.54,-0.43,0.78,0.10,-1.68,-1.12,0.85,96.38,42.18,2.35,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW26,ROW36)",2.11,0.0721,1.4636,0.0989,1.1337,1.37,-0.12,0.16,0.75,-0.11,0.24,-0.84,-0.64,-1.14,0.85,96.38,42.56,2.17,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30)",2.79,0.0784,1.6212,0.0874,1.1335,0.75,0.75,0.34,0.67,0.54,-0.16,-0.28,-1.06,-1.86,#N/A,100.00,44.60,2.41,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW36)",2.30,0.0692,1.4046,0.0990,1.1294,1.13,-0.30,0.51,0.33,0.48,-0.53,-0.66,0.18,-1.37,0.85,96.38,41.68,2.35,1.00,100.00
AFG CO Grade Scaled,2.70,0.0555,0.9982,0.0912,1.1208,1.07,0.42,-0.59,-1.92,#N/A,#N/A,#N/A,#N/A,#N/A,-1.31,74.20,35.47,3.32,5.00,95.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21,ROW26,ROW36)",2.37,0.0725,1.4712,0.0983,1.1208,1.01,0.52,0.18,0.30,-0.33,0.42,-0.49,-0.56,-1.43,0.85,96.38,42.80,2.16,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26,ROW30,ROW36)",2.83,0.0780,1.6163,0.0948,1.1204,1.35,0.38,-0.11,0.41,0.78,-0.28,0.44,-1.24,-1.94,#N/A,100.00,43.62,2.07,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW36)",2.22,0.0721,1.4632,0.0981,1.1152,1.26,0.36,-0.27,0.46,0.49,0.15,-1.16,-0.37,-1.28,0.85,96.38,42.17,2.37,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW21)",1.91,0.0584,1.1698,0.0935,1.1130,0.55,0.62,0.07,0.87,0.28,-0.34,-0.33,0.70,-0.96,-2.40,92.86,40.99,2.68,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW26)",2.40,0.0605,1.2095,0.0888,1.1112,0.92,0.39,0.21,0.66,0.87,-0.06,0.02,-0.01,-1.49,-2.40,92.86,41.51,2.64,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30)",2.63,0.0798,1.6487,0.0875,1.1058,0.43,0.99,0.45,0.52,0.55,0.15,-0.53,-1.06,-1.69,#N/A,100.00,45.46,2.15,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26,ROW30,ROW36)",2.97,0.0786,1.6280,0.0942,1.1033,1.13,0.48,0.70,-0.26,0.61,-0.07,0.32,-1.06,-2.08,#N/A,100.00,43.91,2.07,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW26,ROW30)",2.69,0.0782,1.6166,0.0879,1.1002,0.00,1.48,0.25,0.70,0.24,1.03,-0.77,-1.33,-1.75,#N/A,100.00,44.86,2.20,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26,ROW30,ROW36)",2.15,0.0797,1.6480,0.0925,1.0997,1.25,0.60,0.15,-0.29,0.81,0.24,-0.45,-1.29,-1.27,#N/A,100.00,44.67,1.79,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW26,ROW30,ROW36)",2.68,0.0821,1.6970,0.0935,1.0996,0.81,1.29,0.19,0.12,0.37,0.06,-0.11,-1.17,-1.79,#N/A,100.00,44.58,1.93,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW26,ROW36)",2.16,0.0705,1.4336,0.0967,1.0995,0.88,0.29,0.34,0.36,-0.12,0.61,-0.62,-0.80,-1.27,0.85,96.38,42.32,2.35,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW9,ROW21,ROW24,ROW26)",1.74,0.0645,1.2876,0.0878,1.0884,0.58,0.14,0.46,1.26,0.40,0.36,-0.16,-0.81,-0.81,-2.40,92.86,42.60,2.20,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21,ROW24)",1.64,0.0600,1.2019,0.0899,1.0843,0.72,-0.50,0.95,1.20,0.27,-0.31,-0.25,0.16,-0.69,-2.40,92.86,41.55,2.42,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21)",2.06,0.0602,1.2060,0.0917,1.0800,0.65,0.91,-0.06,1.11,0.11,0.09,-0.22,0.06,-1.12,-2.40,92.86,40.99,2.77,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW36)",2.37,0.0669,1.3604,0.0991,1.0789,0.53,0.15,0.69,0.35,0.28,-0.23,-0.07,-0.46,-1.54,0.85,96.38,41.20,2.52,1.00,100.00
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24,ROW26)",1.06,0.0626,1.2508,0.0893,1.0787,0.48,0.06,1.18,1.08,-0.01,-0.12,-0.71,-0.27,-0.13,-2.40,92.86,42.73,2.18,1.00,100.00
