Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW24)",4.00238,0.09590,3.24873,0.06816,2.71138,1.21758,0.36492,-0.61643,-0.81365,-0.87488,-1.05727,-1.35487,-2.30675,-1.62044,-7.15361
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW26)",4.24357,0.09089,3.07310,0.06320,3.09869,1.09742,-0.03130,-0.64439,-0.63103,-0.91275,-1.52218,-1.35939,-1.96803,-1.47391,-7.15361
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW30)",2.19946,0.08977,3.09850,0.10438,2.05828,1.14986,-0.34752,-0.62924,-0.20501,-1.43050,-1.94611,-2.06613,-1.21867,-0.97744,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW21,ROW36)",3.29251,0.09514,3.25140,0.07981,2.68277,1.39986,-0.36817,-0.54978,-1.07887,-1.25299,-1.97025,-0.77794,-1.87832,-1.12912,-8.61909
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW26)",3.58239,0.09122,3.08149,0.06794,3.41245,1.17666,-0.61406,-0.62213,-0.82936,-1.31135,-1.43371,-1.11511,-2.56912,-0.64185,-5.81850
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW30)",1.71439,0.08779,3.03534,0.11250,1.98176,1.03941,-0.09451,-0.80537,-1.30518,-1.02722,-1.78626,-1.71907,-1.29847,-0.63894,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW24,ROW36)",2.95772,0.09524,3.25451,0.08413,3.22766,0.61733,-0.01182,-0.77781,-1.51942,-1.21995,-1.65082,-1.20250,-2.03656,-0.42037,-8.46819
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW30)",1.52115,0.08387,2.89472,0.10953,2.00945,1.01389,0.13394,-1.12329,-1.10553,-1.64302,-1.23906,-1.36623,-1.91610,-0.46965,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW26,ROW36)",2.84332,0.09167,3.12688,0.08066,3.37329,0.83314,-0.42340,-0.90406,-1.19883,-1.22353,-1.85869,-1.02750,-2.27870,-0.20377,-8.46819
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW30,ROW36)",1.30036,0.08686,3.01136,0.11979,2.31252,0.66690,-0.32645,-1.01759,-1.11915,-1.63606,-1.08775,-2.29612,-1.18109,-0.08330,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW21)",3.95355,0.08762,2.95614,0.05971,2.58419,0.57026,-0.03472,0.61624,-0.70066,-0.50142,-1.45977,-2.03010,-1.58541,-1.67287,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW18,ROW9,ROW24)",4.03204,0.08980,3.01507,0.06226,3.19873,0.43964,-0.19776,0.34040,-0.55467,-1.53487,-1.16524,-2.03421,-1.60412,-1.11789,-4.56355
